problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count
Q3,120,2026091319,14,14,True,262.0174428873332,3668.2442004226646,3.8127951999922516,115
Q3,121,2026091320,15,15,True,210.6768045873547,3160.1520688103205,5.117926099992474,116
Q3,122,2026091321,12,12,True,324.44585920606323,3893.350310472759,3.318642499987618,136
Q3,123,2026091322,13,13,True,250.24493002093945,3253.184090272213,4.080751099987538,126
Q3,124,2026091323,15,15,True,236.33238278426026,3544.985741763904,3.3029399999941234,102
Q3,125,2026091324,13,13,True,279.721021756274,3636.3732828315624,2.743436600008863,125
Q3,126,2026091325,13,13,True,263.1927368800574,3421.5055794407463,3.0213667999923928,123
Q3,127,2026091326,13,13,True,271.88757695362733,3534.538500397155,3.4027949999872362,115
Q3,128,2026091327,10,10,True,351.60635503960395,3516.06355039604,2.549913499999093,143
Q3,129,2026091328,14,14,True,235.15414611003595,3292.1580455405033,3.971308100008173,111
Q3,130,2026091329,15,15,True,229.4131781240941,3441.1976718614114,2.701488499995321,116
Q3,131,2026091330,15,15,True,232.93946835654836,3494.0920253482254,3.395242300000973,111
Q3,132,2026091331,10,10,True,284.8753454256813,2848.7534542568133,2.7296865999960573,145
Q3,133,2026091332,11,11,True,252.90358396772245,2781.939423644947,1.8958065999904647,119
Q3,134,2026091333,10,10,True,318.7150152565464,3187.150152565464,2.43866070000513,135
Q3,135,2026091334,14,14,True,234.6474977044567,3285.0649678623936,4.446862700002384,124
Q3,136,2026091335,13,13,True,243.87644562058188,3170.3937930675643,3.4856784000003245,112
Q3,137,2026091336,16,16,True,230.2909978928766,3684.6559662860254,5.299726600002032,104
Q3,138,2026091337,11,11,True,325.7375081094308,3583.1125892037385,2.1341788999998244,129
Q3,139,2026091338,14,14,True,224.74086390929287,3146.3720947301003,3.233803800001624,112
Q3,140,2026091339,11,11,True,338.3762118710303,3722.1383305813333,4.382132700004149,140
Q3,141,2026091340,13,13,True,232.95149010695226,3028.3693713903795,1.7295234000048367,113
Q3,142,2026091341,13,13,True,259.19980388406185,3369.597450492804,3.3516814000031445,131
Q3,143,2026091342,10,10,True,345.5326646157033,3455.3266461570333,2.337778499990236,145
Q3,144,2026091343,10,10,True,326.79039265791437,3267.903926579144,2.349886100011645,133
Q3,145,2026091344,16,16,True,219.98933074208145,3519.829291873303,3.503489900002023,103
Q3,146,2026091345,13,13,True,246.84798431071374,3209.0237960392787,3.6936778999952367,120
Q3,147,2026091346,10,10,True,311.1449523872867,3111.449523872867,2.79106899999897,132
Q3,148,2026091347,16,16,True,240.71118060000728,3851.3788896001165,3.881199399998877,109
Q3,149,2026091348,13,13,True,230.04914676126316,2990.638907896421,3.02528469999379,118
Q3,150,2026091349,15,15,True,210.8627312341947,3162.940968512921,2.17800429998897,96
Q3,151,2026091350,13,13,True,246.64243763251494,3206.3516892226944,2.552909300007741,119
Q3,152,2026091351,16,16,True,219.98884617681892,3519.821538829103,3.919179600008647,119
Q3,153,2026091352,15,15,True,243.94970401811105,3659.245560271666,3.4082924999966053,112
Q3,154,2026091353,10,10,True,329.02951720953604,3290.2951720953606,3.1577999999863096,140
Q3,155,2026091354,11,11,True,328.241144271213,3610.6525869833426,3.503718400010257,128
Q3,156,2026091355,12,12,True,278.0622493198883,3336.7469918386596,2.59834039999987,134
Q3,157,2026091356,11,11,True,347.3693980187225,3821.0633782059476,3.8884948000049917,128
Q3,158,2026091357,15,15,True,228.04635878927368,3420.6953818391053,3.2081342000019504,117
Q3,159,2026091358,12,12,True,238.9416814850821,2867.3001778209855,2.14405029999034,114
Q3,160,2026091359,15,15,True,212.99443720870025,3194.9165581305037,3.763728899997659,104
Q3,161,2026091360,10,10,True,326.71605541700535,3267.1605541700537,2.499049100006232,143
Q3,162,2026091361,13,13,True,253.94646624242935,3301.3040611515817,2.9118576000037137,126
Q3,163,2026091362,10,10,True,246.4375919356461,2464.375919356461,2.3147683999995934,118
Q3,164,2026091363,16,16,True,248.16385661483912,3970.621705837426,3.5531583999982104,105
Q3,165,2026091364,16,16,True,222.0829336311395,3553.326938098232,2.7113625000056345,105
Q3,166,2026091365,12,12,True,300.94396489949287,3611.327578793914,2.8068480000074487,136
Q3,167,2026091366,10,10,True,298.9074756484107,2989.074756484107,2.240402499999618,132
Q3,168,2026091367,14,14,True,234.14842920064612,3278.0780088090455,4.624272300003213,116
Q3,169,2026091368,15,15,True,223.20224059131218,3348.0336088696827,4.438022799993632,118
Q3,170,2026091369,15,15,True,199.4899101085155,2992.348651627732,3.0765099999989616,102
Q3,171,2026091370,12,12,True,256.0498082563772,3072.5976990765266,3.1597924000088824,126
Q3,172,2026091371,14,14,True,199.35655922063984,2790.9918290889577,2.9594694999977946,101
Q3,173,2026091372,14,14,True,208.31544035791018,2916.4161650107426,2.595783800003119,108
Q3,174,2026091373,15,15,True,230.36006217610114,3455.400932641517,3.3081556000106502,114
Q3,175,2026091374,16,16,True,213.53422794796072,3416.5476471673715,4.586530100001255,92
Q3,176,2026091375,12,12,True,263.6891661870562,3164.2699942446743,3.2380734000034863,119
Q3,177,2026091376,12,12,True,269.6840724446494,3236.2088693357928,2.6197807999997167,123
Q3,178,2026091377,16,16,True,190.1860085982832,3042.976137572531,3.8366635000129463,99
Q3,179,2026091378,15,15,True,222.6347797808468,3339.521696712702,3.9660600000061095,98
Q3,180,2026091379,15,15,True,185.77871456023743,2786.6807184035615,2.4908514999988256,94
Q3,181,2026091380,14,14,True,245.79340659765379,3441.107692367153,4.133622800000012,114
Q3,182,2026091381,11,11,True,268.42701310525194,2952.6971441577716,3.173860399998375,126
Q3,183,2026091382,13,13,True,255.61805148751003,3323.0346693376305,2.343330799994874,124
Q3,184,2026091383,11,11,True,248.98382556906157,2738.8220812596774,1.5403080999967642,116
Q3,185,2026091384,10,10,True,273.5138256006568,2735.1382560065676,1.6430067000037525,130
Q3,186,2026091385,15,15,True,243.54312426738315,3653.1468640107473,3.059517000001506,104
Q3,187,2026091386,10,10,True,327.50126159707673,3275.0126159707675,2.202896899994812,135
Q3,188,2026091387,16,16,True,252.22141473948085,4035.5426358316936,4.724632400000701,119
Q3,189,2026091388,13,13,True,269.1276009829361,3498.658812778169,3.942286499994225,121
Q3,190,2026091389,15,15,True,231.04894829325346,3465.734224398802,3.616334199992707,122
Q3,191,2026091390,12,12,True,258.1949078189787,3098.3388938277444,4.142304699998931,127
Q3,192,2026091391,14,14,True,259.4551498061855,3632.372097286597,2.604762799994205,108
Q3,193,2026091392,11,11,True,303.45935513435666,3338.052906477923,2.7986317000031704,128
Q3,194,2026091393,13,13,True,284.2021236388624,3694.6276073052113,3.3297983999946155,116
Q3,195,2026091394,11,11,True,280.57323573964953,3086.305593136145,3.03778759999841,128
Q3,196,2026091395,16,16,True,246.88163328970992,3950.106132635359,3.5754366000037408,115
Q3,197,2026091396,15,15,True,243.25951828401048,3648.8927742601572,3.84232530000736,118
Q3,198,2026091397,14,14,True,215.2311176117885,3013.235646565039,3.9539227999921422,103
Q3,199,2026091398,10,10,True,291.75764195295045,2917.5764195295046,1.5021822999988217,141
Q3,200,2026091399,16,16,True,189.49403259854367,3031.9045215766987,4.756227599995327,101
Q3,201,2026091400,14,14,True,254.75213551259324,3566.5298971763054,4.244141200004378,119
Q3,202,2026091401,10,10,True,256.44375881391727,2564.4375881391725,1.617271700000856,120
Q3,203,2026091402,14,14,True,222.6374947053473,3116.9249258748623,3.1924736999935703,107
Q3,204,2026091403,13,13,True,296.9859755426868,3860.8176820549284,3.2678406999912113,131
Q3,205,2026091404,14,14,True,239.91953851746462,3358.8735392445046,2.718731300003128,128
Q3,206,2026091405,10,10,True,329.9828584779337,3299.828584779337,2.384914900001604,138
Q3,207,2026091406,13,13,True,265.8510510999136,3456.063664298877,3.1837817000050563,126
Q3,208,2026091407,15,15,True,239.41270327604025,3591.1905491406037,5.808671000006143,123
Q3,209,2026091408,14,14,True,229.6023806164307,3214.43332863003,2.977427300007548,117
Q3,210,2026091409,12,12,True,256.0545828146823,3072.654993776188,3.158043599993107,119
Q3,211,2026091410,13,13,True,275.40672465062937,3580.287420458182,3.7909263000037754,125
Q3,212,2026091411,13,13,True,271.40968352591585,3528.3258858369063,3.304919499991229,132
Q3,213,2026091412,16,16,True,227.4130503615656,3638.6088057850498,3.012812800006941,117
Q3,214,2026091413,11,11,True,316.4889865363421,3481.3788518997635,2.8731079999997746,135
Q3,215,2026091414,15,15,True,239.03580452855755,3585.5370679283633,5.587290199997369,129
Q3,216,2026091415,12,12,True,250.41407333162678,3004.9688799795213,3.5851950000069337,125
Q3,217,2026091416,10,10,True,325.9648368482814,3259.6483684828136,2.6420453999890015,132
Q3,218,2026091417,14,14,True,228.6532920594008,3201.146088831611,3.4277164000086486,119
Q3,219,2026091418,11,11,True,303.4800873450321,3338.2809607953527,3.5306716000050073,127
Q3,220,2026091419,16,16,True,230.75610935023212,3692.097749603714,4.197825800001738,117
Q3,221,2026091420,13,13,True,271.24745098509857,3526.2168628062814,3.0750039999984438,122
Q3,222,2026091421,10,10,True,323.3409038198584,3233.409038198584,2.9624620000104187,132
Q3,223,2026091422,12,12,True,276.9940790658544,3323.928948790253,2.27172389999032,121
Q3,224,2026091423,14,14,True,243.6660421932264,3411.3245907051696,4.712933999995585,121
Q3,225,2026091424,13,13,True,249.86636093946922,3248.2626922131,3.3836115000012796,124
Q3,226,2026091425,13,13,True,294.08118659071135,3823.0554256792475,3.6899762000102783,130
Q3,227,2026091426,10,10,True,321.73766171080644,3217.3766171080642,2.1793077000038465,139
Q3,228,2026091427,14,14,True,255.9118342555157,3582.76567957722,3.2952997000102187,121
Q3,229,2026091428,11,11,True,265.2419143659373,2917.6610580253105,3.5893861000076868,119
Q3,230,2026091429,13,13,True,265.9597050294793,3457.476165383231,3.293492199998582,142
Q3,231,2026091430,11,11,True,265.52792913354,2920.8072204689397,2.107632300001569,123
Q3,232,2026091431,11,11,True,301.0614408960395,3311.675849856435,3.584241300006397,120
Q3,233,2026091432,13,13,True,240.48254025185418,3126.273023274104,2.981781900001806,129
Q3,234,2026091433,12,12,True,283.19865977882574,3398.3839173459087,3.2491848999925423,128
Q3,235,2026091434,15,15,True,198.41753942111671,2976.263091316751,3.2083652000001166,102
Q3,236,2026091435,12,12,True,236.28720872208692,2835.446504665043,3.2556205000000773,110
Q3,237,2026091436,10,10,True,315.395550935356,3153.95550935356,2.3147974999883445,130
Q3,238,2026091437,15,15,True,213.9103161832583,3208.6547427488745,3.1113692999933846,104
Q3,239,2026091438,16,16,True,231.11842504412402,3697.8948007059844,3.9137321000016527,116
Q3,240,2026091439,14,14,True,232.51874363349197,3255.2624108688874,2.350360600001295,109
Q3,241,2026091440,10,10,True,311.57505702768873,3115.750570276887,2.2847805000055814,129
Q3,242,2026091441,11,11,True,350.4239134590799,3854.6630480498793,4.009776999999303,133
Q3,243,2026091442,12,12,True,269.1121158330494,3229.345389996593,3.126364299998386,134
Q3,244,2026091443,14,14,True,222.34948315686924,3112.8927641961695,2.5809769999905257,103
Q3,245,2026091444,11,11,True,285.14841182128026,3136.6325300340827,3.3990685000026133,132
Q3,246,2026091445,15,15,True,225.0703775299979,3376.0556629499683,4.844788800008246,111
Q3,247,2026091446,15,15,True,254.99762581730255,3824.9643872595384,4.217614699999103,105
Q3,248,2026091447,15,15,True,209.21944837360334,3138.29172560405,2.6072844000009354,108
Q3,249,2026091448,14,14,True,275.00099421523925,3850.0139190133496,3.585905100000673,136
Q3,250,2026091449,16,16,True,247.02812410513974,3952.449985682236,3.0432409000059124,108
Q3,251,2026091450,12,12,True,294.5271357160805,3534.3256285929665,3.080050399992615,138
Q3,252,2026091451,13,13,True,249.26866691968885,3240.492669955955,3.490165099996375,124
Q3,253,2026091452,12,12,True,264.7666109204653,3177.199331045584,2.3341387000109535,115
Q3,254,2026091453,16,16,True,236.43776350386702,3783.0042160618723,3.8971687000012025,113
Q3,255,2026091454,11,11,True,319.52329866459877,3514.7562853105865,2.8258216999965953,144
Q3,256,2026091455,15,15,True,237.90175609056104,3568.5263413584157,3.73556460000691,111
Q3,257,2026091456,16,16,True,232.1425587078514,3714.2809393256225,4.445066599990241,107
Q3,258,2026091457,15,15,True,251.72536865478347,3775.880529821752,4.430090000008931,124
Q3,259,2026091458,11,11,True,286.40355726856995,3150.4391299542694,2.323887899998226,129
Q3,260,2026091459,13,13,True,290.885307735816,3781.509000565608,3.3883628000039607,117
Q3,261,2026091460,14,14,True,211.92545386385686,2966.956354093996,2.09233120000863,102
Q3,262,2026091461,10,10,True,315.92434385044146,3159.2434385044144,2.4819852000073297,135
Q3,263,2026091462,14,14,True,240.83473945324272,3371.686352345398,3.203546599994297,108
Q3,264,2026091463,13,13,True,270.69029617034636,3518.973850214503,4.346240699989721,125
Q3,265,2026091464,10,10,True,297.05106597145794,2970.5106597145796,2.603926700001466,132
Q3,266,2026091465,10,10,True,285.6412601146002,2856.4126011460016,2.6809204000019236,131
Q3,267,2026091466,11,11,True,252.97711660232224,2782.7482826255446,2.330519600000116,120
Q3,268,2026091467,15,15,True,230.36965129363824,3455.544769404574,4.405864300002577,119
Q3,269,2026091468,10,10,True,295.13174478195987,2951.317447819599,1.9227913999930024,147
Q3,270,2026091469,10,10,True,331.65754589363695,3316.5754589363696,2.9015833000012208,139
Q3,271,2026091470,11,11,True,300.4691016623175,3305.1601182854924,2.1639705000125105,123
Q3,272,2026091471,16,16,True,215.2534399396449,3444.0550390343183,2.4464733000058914,111
Q3,273,2026091472,13,13,True,288.6686375249205,3752.6922878239666,3.0333159000001615,117
Q3,274,2026091473,16,16,True,189.8040884286372,3036.865414858195,2.686525699988124,95
Q3,275,2026091474,14,14,True,234.85441107956305,3287.9617551138826,3.143149199997424,121
Q3,276,2026091475,13,13,True,277.0004963977623,3601.00645317091,4.112279499997385,131
Q3,277,2026091476,14,14,True,266.85538772688307,3735.9754281763626,2.9255987999931676,128
Q3,278,2026091477,10,10,True,331.02359061967104,3310.2359061967104,3.1533690999931423,132
Q3,279,2026091478,14,14,True,227.82469539020488,3189.5457354628684,3.4354581000079634,117
Q3,280,2026091479,10,10,True,260.75570682151994,2607.5570682151993,1.6294617999956245,119
Q3,281,2026091480,15,15,True,247.2589434821338,3708.8841522320067,4.313356799990288,111
Q3,282,2026091481,12,12,True,290.64607003710586,3487.75284044527,3.182890199997928,134
Q3,283,2026091482,13,13,True,281.4896021856314,3659.3648284132078,3.575071500003105,127
Q3,284,2026091483,10,10,True,327.5716557661927,3275.716557661927,3.030409900005907,143
Q3,285,2026091484,12,12,True,273.6464758034477,3283.7577096413725,2.8091821999987587,124
Q3,286,2026091485,16,16,True,228.0023256093324,3648.037209749318,3.066737100001774,108
Q3,287,2026091486,12,12,True,257.3733736736089,3088.4804840833067,2.215736400001333,117
Q3,288,2026091487,11,11,True,292.6876272192048,3219.563899411253,3.2217315000016242,133
Q3,289,2026091488,12,12,True,243.53916439067044,2922.4699726880453,2.6265911999944365,113
