problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count,status,error,move_time_s,switch_time_s,measure_time_s,clear_action_time_s
Q4,171,2026091370,12,12,True,513.4324515517983,6161.1894186215795,2.0483700730001146,253,complete,,4583.18941862158,232.0,1265.0,81.0
Q4,172,2026091371,14,14,True,422.0110844407119,5908.155182169967,4.392220136000105,204,complete,,4640.155182169967,175.0,1020.0,73.0
Q4,173,2026091372,14,14,True,447.4345521798621,6264.083730518069,2.797562439000103,205,complete,,4987.083730518067,179.0,1025.0,73.0
Q4,174,2026091373,15,15,True,426.388721156827,6395.830817352405,3.4539394060000177,244,complete,,4882.830817352403,218.0,1220.0,75.0
Q4,175,2026091374,16,16,True,362.97557539529186,5807.60920632467,5.755204116999948,187,complete,,4611.609206324671,166.0,935.0,95.0
Q4,176,2026091375,12,12,True,517.3121952582729,6207.746343099276,1.8578535550000197,251,complete,,4664.746343099274,222.0,1255.0,66.0
Q4,177,2026091376,12,12,True,500.3324019139595,6003.988822967513,7.1432136920000175,240,complete,,4514.988822967513,217.0,1200.0,72.0
Q4,178,2026091377,16,16,True,340.36020555191607,5445.763288830657,5.323017610000079,172,complete,,4336.76328883066,151.0,860.0,98.0
Q4,179,2026091378,15,15,True,410.3939352039222,6155.9090280588325,6.017004393999969,187,complete,,4969.9090280588325,161.0,935.0,90.0
Q4,180,2026091379,15,15,True,429.3259169835472,6439.888754753208,2.2855012539998825,181,complete,,5308.888754753209,151.0,905.0,75.0
Q4,181,2026091380,14,14,True,427.12399533683526,5979.7359347156935,3.55691716299998,233,complete,,4513.735934715694,216.0,1165.0,85.0
Q4,182,2026091381,11,11,True,558.7489571105127,6146.23852821564,3.5602881109998634,248,complete,,4621.238528215639,218.0,1240.0,67.0
Q4,183,2026091382,13,13,True,497.367408846446,6465.776315003798,5.1928921030000765,284,complete,,4723.776315003802,251.0,1420.0,71.0
Q4,184,2026091383,11,11,True,559.8769839095459,6158.646823005005,2.6914856460000465,270,complete,,4498.646823005007,243.0,1350.0,67.0
Q4,185,2026091384,10,10,True,609.1201130221223,6091.201130221223,1.9213144589998592,265,complete,,4467.201130221222,246.0,1325.0,53.0
Q4,186,2026091385,15,15,True,407.79504076668957,6116.925611500344,2.0514454379999734,224,complete,,4714.925611500345,201.0,1120.0,81.0
Q4,187,2026091386,10,10,True,619.0924011943581,6190.924011943581,2.6726974329999393,277,complete,,4501.92401194358,251.0,1385.0,53.0
Q4,188,2026091387,16,16,True,394.9185546331969,6318.69687413115,3.1375216469998577,224,complete,,4912.696874131148,200.0,1120.0,86.0
Q4,189,2026091388,13,13,True,466.5538906679236,6065.200578683007,1.787368110999978,241,complete,,4562.200578683007,215.0,1205.0,83.0
Q4,190,2026091389,15,15,True,395.75922748824087,5936.388412323613,3.651500047000127,214,complete,,4599.388412323615,183.0,1070.0,84.0
Q4,191,2026091390,12,12,True,532.7216570824961,6392.659884989953,2.880177374000141,304,complete,,4528.659884989954,275.0,1520.0,69.0
Q4,192,2026091391,14,14,True,414.41427051338815,5801.799787187434,2.220631401999981,206,complete,,4506.799787187433,189.0,1030.0,76.0
Q4,193,2026091392,11,11,True,580.6231630179655,6386.85479319762,1.7584257389999038,275,complete,,4691.854793197621,247.0,1375.0,73.0
Q4,194,2026091393,13,13,True,484.1773185212145,6294.3051407757885,1.7694026950000534,261,complete,,4687.305140775788,234.0,1305.0,68.0
Q4,195,2026091394,11,11,True,579.8327699152863,6378.16046906815,2.6070338050001283,289,complete,,4608.16046906815,264.0,1445.0,61.0
Q4,196,2026091395,16,16,True,375.80623995252256,6012.899839240361,3.424161099999992,189,complete,,4813.899839240364,168.0,945.0,86.0
Q4,197,2026091396,15,15,True,443.3868817784981,6650.803226677472,3.298813031999998,256,complete,,5048.803226677473,232.0,1280.0,90.0
Q4,198,2026091397,14,14,True,434.79169938284804,6087.0837913598725,1.9043741379998664,212,complete,,4767.083791359873,181.0,1060.0,79.0
