case,seed,true_total,cleared_count,clear_ratio,success,status,virtual_time_s,time_per_cleared_source_s,distance_m,measure_count,clear_attempts,failed_clear_attempts,program_runtime_s,mean_clear_distance_m,p95_clear_distance_m,mean_center_error_m,error_hit_rate_20m,error_hit_rate_50m,error_hit_rate_100m,probe_attempts,probe_successes,error,setting_id,parameter,setting_value
4,2026091303,11,11,1.0,True,complete,3153.6579776436215,286.6961797857838,11498.289888218105,125,30,19,5.780999999988126,15.460330554284827,19.44357238053543,14.150732105226043,1.0,1.0,1.0,24,5,,layout_ring_points=7,layout_ring_points,7
5,2026091304,13,13,1.0,True,complete,3358.3705219221406,258.33619399401084,13231.852609610702,106,19,6,2.437999999994645,11.220318601398342,17.80178248854635,5.964350045358947,1.0,1.0,1.0,8,2,,layout_ring_points=7,layout_ring_points,7
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,5.217999999993481,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,layout_ring_points=8,layout_ring_points,8
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,4.2810000000172295,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,layout_ring_points=8,layout_ring_points,8
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,5.1560000000172295,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,layout_ring_points=8,layout_ring_points,8
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,4.546999999991385,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,layout_ring_points=8,layout_ring_points,8
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.437999999994645,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,layout_ring_points=8,layout_ring_points,8
1,2026091300,11,11,1.0,True,complete,3465.778065396391,315.07073321785373,12018.890326981953,165,19,8,2.9530000000086147,13.18516059905669,19.564507951651365,10.304520494560514,1.0,1.0,1.0,11,3,,layout_ring_points=9,layout_ring_points,9
2,2026091301,14,14,1.0,True,complete,3576.464984055772,255.4617845754123,13632.324920278861,125,26,12,3.7810000000172295,14.523869570907681,18.97023947199256,7.978215125889733,1.0,1.0,1.0,18,6,,layout_ring_points=9,layout_ring_points,9
3,2026091302,15,15,1.0,True,complete,3018.4923584089106,201.23282389392736,11072.461792044553,116,29,14,3.8440000000118744,14.448817717546108,19.412572812020713,6.4023830759095315,1.0,1.0,1.0,19,5,,layout_ring_points=9,layout_ring_points,9
4,2026091303,11,11,1.0,True,complete,3385.2659381251797,307.75144892047086,11956.329690625897,152,22,11,3.1710000000020955,15.930628287220634,19.72105482926336,7.746625972771984,1.0,1.0,1.0,15,4,,layout_ring_points=9,layout_ring_points,9
5,2026091304,13,13,1.0,True,complete,3386.941897196715,260.53399209205503,12429.70948598357,128,39,26,5.10899999999674,16.18160191397034,19.466208785110975,5.290323909391055,1.0,1.0,1.0,29,3,,layout_ring_points=9,layout_ring_points,9
1,2026091300,11,11,1.0,True,complete,3325.5097644677185,302.3190694970653,11707.548822338593,156,12,1,2.077999999979511,9.611442791508393,18.38243684059856,8.440424599873355,1.0,1.0,1.0,3,2,,layout_ring_points=10,layout_ring_points,10
2,2026091301,14,14,1.0,True,complete,3728.4961782009736,266.32115558578386,14002.480891004874,137,28,14,3.8280000000086147,11.37744270632093,19.10255821025856,7.493234062686953,1.0,1.0,1.0,20,6,,layout_ring_points=10,layout_ring_points,10
3,2026091302,15,15,1.0,True,complete,3234.7595951525623,215.65063967683747,12023.797975762807,125,19,4,2.76500000001397,13.011963677776214,17.3604796149549,7.1445472884432535,1.0,1.0,1.0,7,3,,layout_ring_points=10,layout_ring_points,10
4,2026091303,11,11,1.0,True,complete,3541.6468178598793,321.9678925327163,12168.234089299398,172,21,10,2.7339999999967404,14.205811787166708,18.941514331778734,8.341422667445157,1.0,1.0,1.0,14,4,,layout_ring_points=10,layout_ring_points,10
5,2026091304,13,13,1.0,True,complete,3369.7135360795637,259.20873354458183,12533.567680397819,133,15,2,1.9530000000086147,11.871391141551559,18.671412541582413,9.261941751863306,1.0,1.0,1.0,3,1,,layout_ring_points=10,layout_ring_points,10
