x_star_m,y_star_m,L_star_m,beta_star_deg,J_star_m,success,trial,epsilon_w,p_w,J0_m
862.8127412255499,505.5236627289097,1000.0,30.366120432781187,1570.3841805148027,True,62,0.3464646464646465,2.0,1580.6611290483147
862.7668577244016,505.60196717611996,1000.0,30.371320441337048,1569.5725324078528,True,63,0.35050505050505054,2.0,1580.661586828697
862.7215956970534,505.6791950613846,1000.0,30.376449228927196,1568.7726819878624,True,64,0.3545454545454545,2.0,1580.6620725026823
862.6769510020687,505.7553541088562,1000.0,30.381507297391867,1567.9843738490947,True,65,0.35858585858585856,2.0,1580.6625846947925
862.63289573062,505.8304925599141,1000.0,30.38649783996624,1567.2073599062223,True,66,0.36262626262626263,2.0,1580.663122361906
862.5894233871371,505.90462209852006,1000.0,30.391421622425685,1566.4413991338895,True,67,0.3666666666666667,2.0,1580.663684277649
862.5465306363511,505.9777490040389,1000.0,30.396279051827467,1565.6862573173225,True,68,0.37070707070707076,2.0,1580.664269209202
862.504199030822,506.04990530006046,1000.0,30.401072245620345,1564.941706813427,True,69,0.3747474747474747,2.0,1580.6648761739193
862.4624176548315,506.12111014359317,1000.0,30.405802467032785,1564.2075263218844,True,70,0.3787878787878788,2.0,1580.6655041426832
862.421176875185,506.1913804849121,1000.0,30.41047083305245,1563.4835006657438,True,71,0.38282828282828285,2.0,1580.666152112849
862.3804652275448,506.26073637397894,1000.0,30.415078666937536,1562.7694205810608,True,72,0.3868686868686869,2.0,1580.6668191549109
862.3402808372135,506.32918150704666,1000.0,30.419626205731717,1562.0650825151533,True,73,0.3909090909090909,2.0,1580.66750421911
862.3005971487529,506.3967615979631,1000.0,30.4241164785022,1561.3702884330578,True,74,0.39494949494949494,2.0,1580.6682067209713
862.2614187755545,506.4634692563401,1000.0,30.42854898629144,1560.6848456318078,True,75,0.398989898989899,2.0,1580.6689255775582
862.2227309699097,506.52933004791623,1000.0,30.43292542012694,1560.0085665621618,True,76,0.40303030303030307,2.0,1580.6696600818084
862.1845209333177,506.5943661974397,1000.0,30.437247249413602,1559.3412686574384,True,77,0.407070707070707,2.0,1580.6704095386815
862.1467877186913,506.65857974215925,1000.0,30.441514602305528,1558.682774169128,True,78,0.4111111111111111,2.0,1580.6711730544503
862.1095173176723,506.72199493439206,1000.0,30.44572908348179,1558.0329100089716,True,79,0.41515151515151516,2.0,1580.6719500264846
862.0727072433108,506.78461640640694,1000.0,30.449890993981338,1557.3915075972088,True,80,0.4191919191919192,2.0,1580.672739647629
862.0363381215504,506.8464775037783,1000.0,30.45400254342589,1556.7584027167218,True,81,0.4232323232323232,2.0,1580.6735415056692
862.0004108653344,506.90757704732994,1000.0,30.458063647084238,1556.1334353728012,True,82,0.42727272727272725,2.0,1580.6743547801234
861.9649182106783,506.9679277568342,1000.0,30.462075144166555,1555.5164496582922,True,83,0.4313131313131313,2.0,1580.675178851241
